Feature,RFE_Rank,Lasso_Coeff,Mutual_Info
Unnamed: 0,1,0.06615323523330754,0.008975545989204914
lookback_months,1,0.04550631500132182,2.508461206351953e-05
count_prior_inpatient,1,0.030422718743378433,0.003147546232479481
count_prior_emergency,1,0.11659891103670884,0.0042530315482445236
count_prior_emergency_30days,1,0.17764077673816617,0.0
count_prior_ambulatory,1,0.053780016868587736,0.0
P_ATC_12m_before,1,0.033126500132344444,0.006037529012852705
D_ATC_12m_before,1,0.05093387910069582,0.007616098981540809
D_ATC_during_episode,1,0.10950775312680693,0.0
num_comorbidities,1,0.1575993691645092,0.007240437991418602
age_adj_comorbidity_score,1,0.05569462391066358,0.003335393414544363
entered_with_emergency,1,0.013985157757531095,0.0003521038794329634
num_medications_at_discharge,1,0.09679761211514464,0.0029546874340089513
HF,3,0.10842903577986164,0.0033772873861970254
IHD,1,0.0361375685254937,3.171381023259201e-05
Stroke,14,0.037621617704074434,0.006316186813670743
any_antidiabetic,9,0.05071041866269223,0.005065909202486951
any_antihypertensive,7,0.1127992851583624,0.016964666574089682
any_nsaid,30,0.03662626464372845,0.002880171742116966
prior_respiratory_admission,10,0.08730517604783329,0.008481814717103742
prior_CHD_admission,13,0.08684749272456958,0.010276783344745022
num_acute_inpatient,1,0.05420413662869086,0.007246676835005017
admission_month,1,0.09079745177361877,0.0
log_num_days,1,0.14717572764402614,0.0026325376191473904
age,1,0.06076574745055195,0.005666283481996048
discharge_department_grouped_Cardiochirurgia,28,0.0018063730044932775,0.002777907782338662
discharge_department_grouped_Medicina Generale,1,0.2050818816079912,0.002105706290575382
discharge_department_grouped_Pneumologia,29,0.0572844786137566,0.01025585305032739
log_total_cost,1,0.21279212625929034,0.014295706184744628
