Feature,Importance_Mean,Importance_Std
discharge_department_grouped_Medicina Generale,0.017832024581768503,0.008396029364388907
admission_month,0.016121543188801636,0.008967425697489003
entered_with_emergency,0.01582565153067028,0.004184183081981208
D_ATC_12m_before,0.015646409468533008,0.007390594551554717
lookback_months,0.015504153863662207,0.007717422254816557
num_comorbidities,0.014218732218049378,0.009251994407883952
num_medications_at_discharge,0.011725844998292934,0.005259093506849759
HF,0.009895299874815033,0.006042980588610705
count_prior_ambulatory,0.008213838625241809,0.010424378674748425
Stroke,0.0077017184477068176,0.0026182269868620348
count_prior_emergency,0.006651303061340585,0.009265316922677925
any_antidiabetic,0.0050221918743598385,0.004698028565467276
age_adj_comorbidity_score,0.00394446341185839,0.00748485818078367
count_prior_emergency_30days,0.003343006714464525,0.009592952937328456
num_acute_inpatient,0.002607829748492052,0.006264753389406146
prior_CHD_admission,0.002071241606919272,0.004344898107570775
any_antihypertensive,0.001546602936155661,0.009712885615519643
log_num_days,0.0013053374302947284,0.018089261592863726
prior_respiratory_admission,0.0012393308296346662,0.004150553282901759
discharge_department_grouped_Cardiochirurgia,0.0008028906338910069,0.0003141441831028504
IHD,0.0007676112438829818,0.0053848064752217316
any_nsaid,2.5036986457271925e-05,0.00018963392464686174
discharge_department_grouped_Pneumologia,-0.0002025719813361304,0.0002944678650747779
count_prior_inpatient,-0.0015283942187322096,0.010054210792747884
age,-0.007872425173551889,0.006307951279763084
P_ATC_12m_before,-0.007945260043245727,0.011409223337981042
log_total_cost,-0.010700466598384006,0.012576787116851602
D_ATC_during_episode,-0.014858313417548652,0.009597854089639072
Unnamed: 0,-0.018271309889609687,0.01059124686744525
