"condition","age_group","patient_count"
COPD,"0",0
COPD,"1-4",631
COPD,"5-9",1435
COPD,"10-14",1083
COPD,"15-19",4164
COPD,"20-24",5578
COPD,"25-29",1370
COPD,"30-34",1871
COPD,"35-39",4321
COPD,"40-44",28043
COPD,"45-49",261898
COPD,"50-54",16094
COPD,"55-59",25959
COPD,"60-64",35304
COPD,"65-69",62934
COPD,"70-74",55103
COPD,"75-79",89444
COPD,"80-84",65133
COPD,"85-89",56989
COPD,"90+",23014
HF,"0",151
HF,"1-4",147
HF,"10-14",341
HF,"15-19",338
HF,"25-29",280
HF,"30-34",76
HF,"35-39",246
HF,"40-44",1267
HF,"45-49",3969
HF,"50-54",7665
HF,"55-59",8382
HF,"60-64",38733
HF,"65-69",37791
HF,"70-74",73727
HF,"75-79",88062
HF,"80-84",113156
HF,"85-89",93685
HF,"90+",56972
IHD,"25-29",530
IHD,"35-39",318
IHD,"40-44",24623
IHD,"45-49",261649
IHD,"50-54",15828
IHD,"55-59",33690
IHD,"60-64",59716
IHD,"65-69",93569
IHD,"70-74",123035
IHD,"75-79",157084
IHD,"80-84",158510
IHD,"85-89",81097
IHD,"90+",46244
P,"0",148
P,"1-4",114
P,"5-9",1284
P,"10-14",348
P,"15-19",2249
P,"20-24",968
P,"25-29",2515
P,"30-34",1092
P,"35-39",1519
P,"40-44",6575
P,"45-49",9685
P,"50-54",18837
P,"55-59",35955
P,"60-64",49456
P,"65-69",47493
P,"70-74",69278
P,"75-79",92888
P,"80-84",115972
P,"85-89",100383
P,"90+",45006
S,"0",108
S,"1-4",451
S,"15-19",674
S,"20-24",353
S,"30-34",322
S,"35-39",1829
S,"40-44",836
S,"45-49",2987
S,"50-54",2385
S,"55-59",5559
S,"60-64",10267
S,"65-69",13547
S,"70-74",18137
S,"75-79",22473
S,"80-84",23938
S,"85-89",21148
S,"90+",8320
