"month","monthly_readmissions"
"2019-01-01",19
"2019-02-01",97
"2019-03-01",115
"2019-04-01",182
"2019-05-01",224
"2019-06-01",219
"2019-07-01",232
"2019-08-01",210
"2019-09-01",268
"2019-10-01",305
"2019-11-01",351
"2019-12-01",164
"2020-01-01",477
"2020-02-01",347
"2020-03-01",346
"2020-04-01",342
"2020-05-01",324
"2020-06-01",330
"2020-07-01",378
"2020-08-01",381
"2020-09-01",349
"2020-10-01",393
"2020-11-01",431
"2020-12-01",276
"2021-01-01",498
"2021-02-01",382
"2021-03-01",484
"2021-04-01",350
"2021-05-01",437
"2021-06-01",426
"2021-07-01",472
"2021-08-01",487
"2021-09-01",472
"2021-10-01",619
"2021-11-01",457
"2021-12-01",426
"2022-01-01",627
"2022-02-01",578
"2022-03-01",633
"2022-04-01",568
"2022-05-01",601
"2022-06-01",605
"2022-07-01",627
"2022-08-01",640
"2022-09-01",663
"2022-10-01",837
"2022-11-01",612
"2022-12-01",409
"2023-01-01",788
"2023-02-01",896
"2023-03-01",953
"2023-04-01",708
"2023-05-01",755
"2023-06-01",811
"2023-07-01",729
"2023-08-01",673
"2023-09-01",726
"2023-10-01",670
"2023-11-01",957
"2023-12-01",438
"2024-01-01",768
"2024-02-01",511
"2024-03-01",277
