"condition","report_year","avg_cost_per_hospitalization","avg_cost_per_emergency_visit","avg_medication_cost_per_patient"
COPD,2019,5069.9425,132.19681217012734,9607.419134670861
COPD,2020,5515.9955,150.56141063009616,9291.470423781273
COPD,2021,4779.1527,123.25975770908026,9436.399173933678
COPD,2022,4908.5727,130.20045919208735,10467.063513289626
COPD,2023,4521.9251,146.33883148281902,12561.26472091466
HF,2019,5362.5711,147.24436760736427,1082.1733239916932
HF,2020,5985.1472,154.5514123322697,1638.9465670039726
HF,2021,6313.7176,148.22778405531164,1720.087445000429
HF,2022,6050.6605,142.90898527927087,1481.7013374744074
HF,2023,5759.1756,167.34443844475567,1432.886960077633
IHD,2019,6352.4113,133.77081646164078,4045.325166768233
IHD,2020,6464.0337,133.09924947775963,3643.864825229413
IHD,2021,6439.2077,118.23922209153076,3270.7697239434874
IHD,2022,6258.2541,124.8344589775958,3005.4388298075546
IHD,2023,6302.6633,145.16990080671818,2580.8586929821813
P,2019,5759.7529,138.20944394183806,1988.1415427228355
P,2020,6414.2094,132.76562635403081,1808.291701368241
P,2021,6468.9281,133.93820935769688,2931.798880949958
P,2022,6781.3605,143.4076084767627,2978.2037974776613
P,2023,6063.1483,160.23422061273496,2260.884657979209
S,2019,7933.7456,199.70789732012832,834.7833337464664
S,2020,9163.1321,269.29653800989536,1165.7586354332454
S,2021,10166.2638,206.45708188440946,1573.9810072252067
S,2022,9382.7171,260.449100016592,1568.2681548428968
S,2023,9226.2107,294.11983079035906,1733.981906036333
