"condition","report_year","n_patients","n_hospitalizations","n_readmissions","n_patients_readmitted","n_emergency","n_meds","n_ambulatory"
COPD,2019,554,887,138,103,1160,58605,16939
COPD,2020,437,660,101,71,653,58730,14026
COPD,2021,467,714,124,85,902,58194,15177
COPD,2022,478,770,130,97,1092,59473,17679
COPD,2023,438,681,94,71,1034,58440,17764
HF,2019,734,1154,180,129,1695,8820,17772
HF,2020,594,863,122,91,957,9333,13301
HF,2021,615,903,112,92,1231,12100,13277
HF,2022,622,972,142,115,1525,10130,15676
HF,2023,618,968,161,115,1438,10368,15553
IHD,2019,1028,1551,210,157,2210,61066,28086
IHD,2020,856,1216,149,112,1329,61874,22426
IHD,2021,903,1295,156,124,1642,61344,24224
IHD,2022,917,1405,179,141,2046,58242,29146
IHD,2023,990,1491,191,143,2083,56785,29565
P,2019,874,1356,223,165,2134,10781,22269
P,2020,1008,1361,171,133,1328,11493,16223
P,2021,753,1085,159,121,1501,14196,16390
P,2022,722,1054,147,113,1801,11148,18278
P,2023,698,1072,169,126,1825,10807,16824
S,2019,231,338,46,43,513,1792,4470
S,2020,205,265,34,30,303,1608,3348
S,2021,231,326,44,40,452,2432,3856
S,2022,237,350,66,43,499,1891,4673
S,2023,205,299,47,36,469,1441,4325
